source,date,mean
GCAG,1983-09-06,0.3175
GISTEMP,1983-09-06,0.38
GCAG,1983-08-06,0.3228
GISTEMP,1983-08-06,0.3
GCAG,1983-07-06,0.2663
GISTEMP,1983-07-06,0.15
GCAG,1983-06-06,0.2629
GISTEMP,1983-06-06,0.18
GCAG,1983-05-06,0.2881
GISTEMP,1983-05-06,0.35
GCAG,1983-04-06,0.2918
GISTEMP,1983-04-06,0.3
GCAG,1983-03-06,0.4256
GISTEMP,1983-03-06,0.42
GCAG,1983-02-06,0.4834
GISTEMP,1983-02-06,0.4
GCAG,1983-01-06,0.5169
GISTEMP,1983-01-06,0.52
GCAG,1982-12-06,0.4355
GISTEMP,1982-12-06,0.43
GCAG,1982-11-06,0.151
GISTEMP,1982-11-06,0.14
GCAG,1982-10-06,0.1771
GISTEMP,1982-10-06,0.13
GCAG,1982-09-06,0.233
GISTEMP,1982-09-06,0.15
GCAG,1982-08-06,0.1406
GISTEMP,1982-08-06,0.08
GCAG,1982-07-06,0.1436
GISTEMP,1982-07-06,0.13
GCAG,1982-06-06,0.1231
GISTEMP,1982-06-06,0.05
GCAG,1982-05-06,0.1923
GISTEMP,1982-05-06,0.16
GCAG,1982-04-06,0.2054
GISTEMP,1982-04-06,0.1
GCAG,1982-03-06,0.0833
GISTEMP,1982-03-06,-0.01
GCAG,1982-02-06,0.1593
GISTEMP,1982-02-06,0.14
GCAG,1982-01-06,0.1342
GISTEMP,1982-01-06,0.09
GCAG,1981-12-06,0.42
GISTEMP,1981-12-06,0.4
GCAG,1981-11-06,0.2119
GISTEMP,1981-11-06,0.21
GCAG,1981-10-06,0.1687
GISTEMP,1981-10-06,0.13
GCAG,1981-09-06,0.186
GISTEMP,1981-09-06,0.17
GCAG,1981-08-06,0.2428
GISTEMP,1981-08-06,0.35
GCAG,1981-07-06,0.2268
GISTEMP,1981-07-06,0.35
GCAG,1981-06-06,0.2853
GISTEMP,1981-06-06,0.31
GCAG,1981-05-06,0.262
GISTEMP,1981-05-06,0.25
GCAG,1981-04-06,0.3579
GISTEMP,1981-04-06,0.32
GCAG,1981-03-06,0.4083
GISTEMP,1981-03-06,0.48
GCAG,1981-02-06,0.3629
GISTEMP,1981-02-06,0.41
GCAG,1981-01-06,0.4656
GISTEMP,1981-01-06,0.56
GCAG,1980-12-06,0.2674
GISTEMP,1980-12-06,0.21
GCAG,1980-11-06,0.3319
GISTEMP,1980-11-06,0.3
GCAG,1980-10-06,0.1821
GISTEMP,1980-10-06,0.2
GCAG,1980-09-06,0.2008
GISTEMP,1980-09-06,0.21
GCAG,1980-08-06,0.1957
GISTEMP,1980-08-06,0.24
GCAG,1980-07-06,0.2172
GISTEMP,1980-07-06,0.28
GCAG,1980-06-06,0.2474
GISTEMP,1980-06-06,0.16
GCAG,1980-05-06,0.316
GISTEMP,1980-05-06,0.34
GCAG,1980-04-06,0.3082
GISTEMP,1980-04-06,0.32
GCAG,1980-03-06,0.2389
GISTEMP,1980-03-06,0.29
GCAG,1980-02-06,0.3506
GISTEMP,1980-02-06,0.42
GCAG,1980-01-06,0.308
GISTEMP,1980-01-06,0.3
